Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1006,B.E. ,Mechanical,MITCOE,CATIA,Content-Based,0
1007,B.E. ,Mechanical,MITAOE,CATIA,Content-Based,0
1271,B.E. ,Mechanical,MITCOE,AUTOCAD,Content-Based,0
1066,B.E. ,Mechanical,MITCOE,AUTOCAD,Content-Based,0
1064,B.E. ,Mechanical,MITCOE,AUTOCAD,Content-Based,0
1018,B.E. ,Mechanical,MITCOE,AUTOCAD,Content-Based,0
1014,B.E. ,Mechanical,MITAOE,AUTOCAD,Content-Based,0
2069,B.E. ,Mechanical,MITAOE,CATIA,Content-Based,0
2068,B.E. ,Mechanical,MITAOE,CATIA,Content-Based,0
2067,B.E. ,Mechanical,MITCOE,CATIA,Content-Based,0
