Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),66.25
8948,B.E. ,Computer Science Engineering,MITAOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),66.25
1646,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,60.0
2042,B.E. ,Mechanical,MITAOE,"CAD,CAM",Content-Based,0.0
1794,B.E. ,Mechanical,MITCOE,"CAD,CAM",Content-Based,0.0
1780,B.E. ,Mechanical,MITAOE,"CAD,CAM",Content-Based,0.0
1779,B.E. ,Mechanical,MITAOE,"CAD,CAM",Content-Based,0.0
1776,B.E. ,Mechanical,MITCOE,"CAD,CAM",Content-Based,0.0
1775,B.E. ,Mechanical,MITAOE,"CAD,CAM",Content-Based,0.0
1766,B.E. ,Mechanical,MITCOE,"CAD,CAM",Content-Based,0.0
1571,B.E. ,Mechanical,MITCOE,"CAD,CAM",Content-Based,0.0
1560,B.E. ,Mechanical,MITCOE,"CAD,CAM",Content-Based,0.0
