Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1085,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"C,JAVA",Content-Based,0
1100,B.E. ,Electronics  Telecommunication Engineering,MITCOE,"C,JAVA",Content-Based,0
1608,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA",Content-Based,0
1446,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA",Content-Based,0
1382,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA",Content-Based,0
1359,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA",Content-Based,0
1863,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design",Content-Based,0
1861,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"C,PCB design",Content-Based,0
1621,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","C,PCB design",Content-Based,0
1620,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","C,PCB design",Content-Based,0
