Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1219,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1220,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1988,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1759,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1731,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1981,B.E. ,Electronics  Telecommunication Engineering,MITAOE,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
2002,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1741,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1735,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
1224,B.E. ,Electronics  Telecommunication Engineering,"MIT,Pune","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP",Content-Based,0
