Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1896,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,51.67
1428,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,51.67
1212,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,51.67
2219,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Collaborative,51.67
2389,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Collaborative,51.67
2225,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Collaborative,51.67
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),51.67
8949,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),51.67
2407,B.E. ,Computer Science Engineering,MITCOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Collaborative,35.0
2186,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,JAVA",Collaborative,25.0
1245,B.E. ,Mechanical,MITAOE,CATIA,Content-Based,0.0
1765,B.E. ,Mechanical,MITCOE,CATIA,Content-Based,0.0
