Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1205,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",Content-Based,35
1204,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",Content-Based,35
1158,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1157,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1156,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1146,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1125,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1145,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1140,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1139,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design",Content-Based,0
