Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1122,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,60.0
1944,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,60.0
1429,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,60.0
1386,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,60.0
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),60.0
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),60.0
1404,B.E. ,Computer Science Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
1419,B.E. ,Computer Science Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
1964,B.E. ,Computer Science Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
2175,B.E. ,Computer Science Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
1697,B.E. ,Computer Science Engineering,MITCOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
1405,B.E. ,Computer Science Engineering,MITAOE,"CPPProgramming, Core JAVA, CProgramming, MySql",Content-Based,35.0
