Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1907,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,68.33
1150,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,68.33
1429,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,68.33
1668,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,68.33
1122,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,68.33
2190,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Collaborative,68.33
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),68.33
8949,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),68.33
2129,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"C,PCB design",Collaborative,25.0
2075,B.E. ,Mechanical,MITCOE,"CAD,CAM",Collaborative,0.0
2394,B.E. ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO",Collaborative,0.0
