Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1924,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1679,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1944,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1175,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",Content-Based,35
1429,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1523,B.E. ,Mechanical,MITCOE,"ProE,CATIA",Content-Based,0
1516,B.E. ,Mechanical,MITCOE,"ProE,CATIA",Content-Based,0
1519,B.E. ,Mechanical,MITCOE,"ProE,CATIA",Content-Based,0
1520,B.E. ,Mechanical,MITAOE,"ProE,CATIA",Content-Based,0
1572,B.E. ,Mechanical,MITAOE,"ProE,CATIA",Content-Based,0
