Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1058,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1078,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1613,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1612,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1605,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1602,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1600,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1588,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1587,B.E. ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1570,B.E. ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
