Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1909,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1903,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1434,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1184,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1124,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
1123,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1569,B.E. ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1130,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1114,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1109,B.E. ,Mechanical,MITCOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
