course_id,user_id,rating
2001,1001,5
2001,1002,3
2001,1003,1
2001,1004,0
2001,1005,2
2001,1006,1
2001,1007,0
2001,1008,0
2001,1009,0
2001,1010,0
2001,1011,3
2001,1012,0
2001,1013,0
2001,1014,4
2001,1015,1
2001,1016,0
2001,1017,2
2001,1018,0
2001,1019,1
2001,1020,3
2002,1001,3
2002,1002,5
2002,1003,0
2002,1004,2
2002,1005,1
2002,1006,0
2002,1007,4
2002,1008,5
2002,1009,0
2002,1010,1
2002,1011,0
2002,1012,3
2002,1013,2
2002,1014,0
2002,1015,5
2002,1016,2
2002,1017,0
2002,1018,3
2002,1019,0
2002,1020,0
2003,1001,4
2003,1002,1
2003,1003,3
2003,1004,0
2003,1005,2
2003,1006,3
2003,1007,1
2003,1008,4
2003,1009,5
2003,1010,4
2003,1011,1
2003,1012,0
2003,1013,3
2003,1014,2
2003,1015,4
2003,1016,2
2003,1017,3
2003,1018,4
2003,1019,3
2003,1020,4
2004,1001,2
2004,1002,4
2004,1003,5
2004,1004,3
2004,1005,3
2004,1006,2
2004,1007,0
2004,1008,4
2004,1009,2
2004,1010,2
2004,1011,4
2004,1012,3
2004,1013,5
2004,1014,2
2004,1015,3
2004,1016,1
2004,1017,3
2004,1018,2
2004,1019,3
2004,1020,0
2005,1001,0
2005,1002,4
2005,1003,2
2005,1004,0
2005,1005,1
2005,1006,2
2005,1007,4
2005,1008,3
2005,1009,3
2005,1010,5
2005,1011,1
2005,1012,2
2005,1013,3
2005,1014,0
2005,1015,5
2005,1016,0
2005,1017,0
2005,1018,0
2005,1019,2
2005,1020,1
2006,1001,2
2006,1002,3
2006,1003,4
2006,1004,5
2006,1005,1
2006,1006,2
2006,1007,0
2006,1008,5
2006,1009,4
2006,1010,3
2006,1011,2
2006,1012,1
2006,1013,2
2006,1014,3
2006,1015,0
2006,1016,0
2006,1017,1
2006,1018,2
2006,1019,5
2006,1020,4
2007,1001,0
2007,1002,0
2007,1003,2
2007,1004,4
2007,1005,1
2007,1006,3
2007,1007,5
2007,1008,4
2007,1009,1
2007,1010,2
2007,1011,0
2007,1012,0
2007,1013,2
2007,1014,1
2007,1015,3
2007,1016,5
2007,1017,4
2007,1018,1
2007,1019,2
2007,1020,3
2008,1001,3
2008,1002,1
2008,1003,2
2008,1004,5
2008,1005,4
2008,1006,3
2008,1007,4
2008,1008,5
2008,1009,4
2008,1010,0
2008,1011,0
2008,1012,0
2008,1013,1
2008,1014,2
2008,1015,3
2008,1016,4
2008,1017,5
2008,1018,0
2008,1019,0
2008,1020,0
2009,1001,4
2009,1002,5
2009,1003,4
2009,1004,5
2009,1005,1
2009,1006,3
2009,1007,2
2009,1008,3
2009,1009,4
2009,1010,5
2009,1011,0
2009,1012,2
2009,1013,3
2009,1014,4
2009,1015,0
2009,1016,1
2009,1017,2
2009,1018,3
2009,1019,4
2009,1020,5
2010,1001,5
2010,1002,4
2010,1003,5
2010,1004,4
2010,1005,5
2010,1006,3
2010,1007,4
2010,1008,3
2010,1009,4
2010,1010,2
2010,1011,3
2010,1012,4
2010,1013,1
2010,1014,0
2010,1015,0
2010,1016,0
2010,1017,0
2010,1018,0
2010,1019,0
2010,1020,0
2011,1001,2
2011,1002,4
2011,1003,5
2011,1004,2
2011,1005,3
2011,1006,1
2011,1007,2
2011,1008,3
2011,1009,5
2011,1010,4
2011,1011,2
2011,1012,3
2011,1013,4
2011,1014,1
2011,1015,2
2011,1016,3
2011,1017,0
2011,1018,0
2011,1019,0
2011,1020,0
2012,1001,3
2012,1002,0
2012,1003,0
2012,1004,0
2012,1005,0
2012,1006,0
2012,1007,1
2012,1008,2
2012,1009,3
2012,1010,2
2012,1011,4
2012,1012,5
2012,1013,4
2012,1014,5
2012,1015,4
2012,1016,5
2012,1017,4
2012,1018,4
2012,1019,2
2012,1020,2
2013,1001,1
2013,1002,2
2013,1003,4
2013,1004,3
2013,1005,5
2013,1006,1
2013,1007,2
2013,1008,3
2013,1009,4
2013,1010,5
2013,1011,0
2013,1012,0
2013,1013,4
2013,1014,3
2013,1015,2
2013,1016,3
2013,1017,4
2013,1018,4
2013,1019,0
2013,1020,0
2014,1001,4
2014,1002,5
2014,1003,1
2014,1004,2
2014,1005,3
2014,1006,0
2014,1007,0
2014,1008,2
2014,1009,3
2014,1010,4
2014,1011,5
2014,1012,0
2014,1013,1
2014,1014,2
2014,1015,3
2014,1016,4
2014,1017,3
2014,1018,5
2014,1019,5
2014,1020,4
2015,1001,1
